"course_title","is_paid_True","is_paid_False","price","num_subscribers","num_reviews","num_lectures","level_All Levels","level_Beginner Level","level_Intermediate Level","level_Expert Level","content_duration","subject_Business Finance","subject_Graphic Design","subject_Musical Instruments","subject_Web Development"
"How to Win 97% of Your Options Trades",1,0,125,5050,461,26,1,0,0,0,1.5,1,0,0,0
"How I Make Consistent Returns Trading Options",1,0,200,2310,162,26,1,0,0,0,3.5,1,0,0,0
"Forex Strategies: Kelly Criterion, Larry Williams and more!",1,0,185,5528,506,32,1,0,0,0,3,1,0,0,0
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",1,0,125,6451,237,28,1,0,0,0,5,1,0,0,0
"Options Trading Introduction: Day Trade Stock Options",1,0,95,12394,218,30,0,1,0,0,2.5,1,0,0,0
"The Almost Perfect Options Trading Strategy System - Unique",1,0,200,1793,18,15,1,0,0,0,1,1,0,0,0
"Forex Trading -  Learn to Trade Forex Like the Banks",1,0,20,3223,240,23,1,0,0,0,1,1,0,0,0
"Learn to Trade for Profit:Trading with Japanese Candlesticks",1,0,60,16385,273,45,0,1,0,0,3,1,0,0,0
"The Most Powerful Options Spread Trading Front Ratio Spread",1,0,200,1487,16,18,1,0,0,0,2,1,0,0,0
"What Finance Job is for You? Explanation of 14 Finance Roles",1,0,200,2951,232,60,1,0,0,0,4,1,0,0,0
"The Blueprint for Successful Stock Trading",1,0,120,2697,331,15,1,0,0,0,1,1,0,0,0
"Trading for Beginners - Intermediate Level",1,0,150,3979,40,39,0,1,0,0,5,1,0,0,0
"Start Trading Stocks Using Technical Analysis!",1,0,25,3190,244,45,1,0,0,0,4,1,0,0,0
"Learn How to Set Up an Incubator Hedge Fund - Step-by-Step",1,0,200,1406,71,54,0,0,0,1,1.5,1,0,0,0
"VPS for Forex Trading - Protect Your Forex Robots",1,0,160,4252,225,24,1,0,0,0,2,1,0,0,0
"Introduction to Accounting: The Language of Business",1,0,20,11958,370,134,0,1,0,0,11.5,1,0,0,0
"Basic Excel for Basic Bookkeeping and Accounting",1,0,95,7743,340,33,0,1,0,0,1.5,1,0,0,0
"Using 'The Greeks To Understand Options""",1,0,50,2134,55,5,1,0,0,0,1,1,0,0,0
"Trading Options For Consistent Returns: Calendar Spreads",1,0,200,1214,69,20,1,0,0,0,1.5,1,0,0,0
"How to Create Your Personal Budget",1,0,20,3870,53,10,1,0,0,0,1,1,0,0,0
"The Complete Value Investing Course: A Proven Approach",1,0,200,2146,212,49,1,0,0,0,4.5,1,0,0,0
"FOREX Trading with Price Action",1,0,195,484,57,19,0,1,0,0,1,1,0,0,0
"Emini ES Futures - Advanced Non Directional Options Trading",1,0,200,1057,15,14,1,0,0,0,1.5,1,0,0,0
"Forex Trading - Advanced Fundamental Analysis",1,0,20,1754,100,49,0,0,1,0,2.5,1,0,0,0
"How To Invest With Tiny Capital In Stocks ?",1,0,20,1239,5,6,0,1,0,0,0.7,1,0,0,0
"Learn How To Successfully Trade Stocks: In 5 Simple Steps",1,0,95,2493,276,108,1,0,0,0,9.5,1,0,0,0
"Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader",1,0,150,2602,402,57,0,1,0,0,5,1,0,0,0
"Intermediate Options trading concepts for Stocks and Options",1,0,40,2000,30,9,1,0,0,0,1,1,0,0,0
"Options Trading 101: The Basics",0,1,0,1514,66,11,0,1,0,0,0.55,1,0,0,0
"Practical Accounts APP Overview",1,0,20,1361,1,14,0,0,1,0,3,1,0,0,0
"Bitcoin Profits for Beginners",1,0,100,61,18,30,0,1,0,0,1.5,1,0,0,0
"Trend Traders Club: How To Find And Trade Fast Moving Trends",1,0,75,1513,31,60,1,0,0,0,5.5,1,0,0,0
"Financial Statements Basics",1,0,20,1374,19,9,0,1,0,0,2,1,0,0,0
"High performance Stock Trading using key Options techniques",1,0,40,2103,15,6,1,0,0,0,1.5,1,0,0,0
"Introduction to Financial Statement Analysis",1,0,20,1480,25,25,0,1,0,0,1.5,1,0,0,0
"Basics of Economics (College Level)",1,0,25,2516,12,20,1,0,0,0,1.5,1,0,0,0
"Stock Market Investing for Beginners",0,1,0,50855,2698,15,0,1,0,0,1.5,1,0,0,0
"Accounting for Beginners : Learn Basics in under 1 Hour",1,0,50,1971,13,20,0,1,0,0,1.5,1,0,0,0
"Straddle Options Trading - Profit in Any Market Direction",1,0,200,837,9,19,1,0,0,0,1,1,0,0,0
"Fundamentals of Forex Trading",0,1,0,17160,620,23,1,0,0,0,1,1,0,0,0
"Binary Options: Trading Strategies, 90% Accuracy and Signals",1,0,195,1723,38,24,0,1,0,0,1,1,0,0,0
"Website Investing 101 - Buying & Selling Online Businesses",0,1,0,6811,151,51,1,0,0,0,2,1,0,0,0
"Practical Accounts & Bookkeeping Automated Overview ",1,0,20,2060,17,30,1,0,0,0,4.5,1,0,0,0
"Live Account - ETF Trading System - Hacking The Stock Market",1,0,150,2318,19,16,1,0,0,0,5,1,0,0,0
"Stock Market Leverage: How to Start Trading Options Wisely",1,0,95,2153,14,13,0,1,0,0,1.5,1,0,0,0
"Stock Market Foundations",0,1,0,19339,794,9,0,1,0,0,2,1,0,0,0
"Crash Course on Working Capital Management",1,0,20,3177,8,8,1,0,0,0,1,1,0,0,0
"Advanced Accounting A Complete Study for CA / CMA / CFA / CS",1,0,150,1535,16,462,1,0,0,0,62,1,0,0,0
"61% Profit In 1 Month - Crush Your Forex Trading Paradigm",1,0,20,1027,29,25,1,0,0,0,1.5,1,0,0,0
"How to create a routine Trading",1,0,25,307,8,5,1,0,0,0,0.133333333333333,1,0,0,0
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",1,0,150,2096,48,29,1,0,0,0,0.683333333333333,1,0,0,0
"Forex SOS Course: Trading Tweaks And Working Forex Strategy",1,0,50,1315,48,59,0,1,0,0,2.5,1,0,0,0
"Introduction to Financial Modeling",0,1,0,29167,1463,8,0,0,1,0,1.5,1,0,0,0
"Quantitative Aptitude for Banking & Competitive Examinations",1,0,50,1056,1,42,1,0,0,0,3,1,0,0,0
"Option Spreads and Credit Spreads Bundle",1,0,180,2212,194,24,0,0,0,1,4.5,1,0,0,0
"B Com Accountancy I (Paper ECO 02 IGNOU)",1,0,50,2946,6,284,1,0,0,0,31.5,1,0,0,0
"FOREX TRADING - Learn in a quick + profitable way + support",1,0,100,271,48,47,1,0,0,0,3.5,1,0,0,0
"Auditing Basics (Professional Course Level)",1,0,25,3771,10,35,1,0,0,0,2.5,1,0,0,0
"Stock market Investing Encyclopedia: How to invest in stocks",1,0,200,3143,11,39,0,0,1,0,3,1,0,0,0
"Learn the basics of preparing accounting statements",1,0,20,1951,30,20,0,0,1,0,0.55,1,0,0,0
"Elliott Wave -Forex Trading With The Elliott Wave Theory",1,0,90,4022,35,14,0,0,0,1,1,1,0,0,0
"Corporate Finance - A Brief Introduction",0,1,0,11724,649,17,0,1,0,0,1.5,1,0,0,0
"Excel functions to analyze and visualize data",1,0,20,2283,54,16,0,0,1,0,2,1,0,0,0
"Building Financial Statements in Excel",1,0,35,1181,1,18,0,1,0,0,1,1,0,0,0
"Transfer Pricing A Complete Analysis",1,0,50,1852,3,14,1,0,0,0,2.5,1,0,0,0
"Accounting: Get Hired Without Work Experience",1,0,100,4661,187,20,1,0,0,0,1,1,0,0,0
"Forex Trading for Beginners - Basics",1,0,50,989,9,11,1,0,0,0,1,1,0,0,0
"Basic Bookkeeping Hacks",1,0,20,5841,16,28,1,0,0,0,1.5,1,0,0,0
"Complete Trading Plan Course for Stocks & Forex (10 Hours)",1,0,200,1087,14,61,1,0,0,0,9.5,1,0,0,0
"Forex Trading with Fixed 'Risk through Options Trading""",1,0,200,611,4,26,0,1,0,0,1,1,0,0,0
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",1,0,60,1922,149,15,1,0,0,0,20,1,0,0,0
"How to Pick The Right Penny Stocks To Invest In 2017",1,0,150,9015,65,23,1,0,0,0,2.5,1,0,0,0
"Top 10 Trading Ideas in the Equities Market",1,0,20,661,4,12,1,0,0,0,1,1,0,0,0
"Intro to Financial Modeling",1,0,105,1077,110,55,0,1,0,0,6,1,0,0,0
"Shark Accounting - Building a Business by the Numbers!",1,0,20,6050,140,17,0,1,0,0,1.5,1,0,0,0
"Forex Trading MAKE YOUR FIRST TRADE TODAY!",1,0,150,3523,46,45,1,0,0,0,4,1,0,0,0
"Accounting in 60 Minutes - A Brief Introduction",0,1,0,56659,4397,16,0,1,0,0,1.5,1,0,0,0
"SAP FICO For Beginners - A Guide to SAP Financial Accounts",1,0,100,1444,101,59,0,1,0,0,5,1,0,0,0
"Learn how to double your Forex Trading Account in one trade",1,0,60,2900,424,36,0,0,1,0,2.5,1,0,0,0
"Accounting Superpowers: Learn Accounts, Understand Business!",1,0,200,1437,96,34,0,1,0,0,2.5,1,0,0,0
"Python Algo Trading: FX Trading with Oanda",1,0,200,453,42,33,0,0,1,0,3,1,0,0,0
"Save on Your Taxes",1,0,20,2437,12,23,1,0,0,0,1.5,1,0,0,0
"Financial Model Basics: Build a model from start to finish",1,0,30,5057,142,13,0,1,0,0,1,1,0,0,0
"Option Trading for Rookies: The Covered Call Option Strategy",1,0,95,6092,25,29,0,1,0,0,1.5,1,0,0,0
"EFT for Stock Options Trading Success & Making Better Trades",1,0,95,4530,13,31,1,0,0,0,1.5,1,0,0,0
"Learn to Trade the Stock Market without Blowing Your Profits",1,0,60,6967,16,34,1,0,0,0,1,1,0,0,0
"Get a Credit Repair Publication On Amazon and Live LIFE..",1,0,20,727,11,25,0,1,0,0,3,1,0,0,0
"Fundamentals of Accounting",1,0,20,1560,43,25,1,0,0,0,3,1,0,0,0
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",1,0,200,1047,9,46,1,0,0,0,3.5,1,0,0,0
"Basics of Mutual Funds for CA / CMA / CS / CFA Exams",1,0,125,1045,2,17,0,0,1,0,1,1,0,0,0
"Accounting 101: How to read an Accounting Balance Sheet",1,0,200,3050,86,22,0,1,0,0,2,1,0,0,0
"Stock Options Day Trading Mindset for Success",1,0,200,2988,21,43,1,0,0,0,4.5,1,0,0,0
"Introduction to bookkeeping and Accounting",1,0,35,2623,158,20,0,1,0,0,1,1,0,0,0
"Learn to Trade The News",1,0,200,1924,351,544,1,0,0,0,46.5,1,0,0,0
"Value Investing, Taught by Six Superinvestors",1,0,200,3804,267,66,1,0,0,0,5,1,0,0,0
"Trading for everyone - The Independent Investor Course I",1,0,120,4133,15,36,0,1,0,0,4,1,0,0,0
"Get Acquired: Learn From The Head Of Acquisitions For eBay",1,0,195,1420,70,29,1,0,0,0,2.5,1,0,0,0
"Stock Market investment: Practical Accounting",1,0,125,1120,6,43,0,1,0,0,3,1,0,0,0
"How to remove 'Risk from Penny Stocks - Options Trading""",1,0,200,668,12,22,1,0,0,0,1,1,0,0,0
"Accounting Basics in 66 Minutes (absolutely for beginners)",1,0,25,4086,31,14,1,0,0,0,1.5,1,0,0,0
"Tax Accounting: Difficult Topic, Made Easy to Understand",1,0,200,1033,10,29,1,0,0,0,2,1,0,0,0
"Analysis of Company Financial Statements",1,0,20,832,34,34,1,0,0,0,1.5,1,0,0,0
"Forex Trading Like Banks – Step by Step with Live Examples",1,0,195,677,45,40,1,0,0,0,4.5,1,0,0,0
"Fundamentals of Investing!",1,0,20,3125,54,13,0,1,0,0,2,1,0,0,0
"Bank Financial Management A Comprehensive Study",1,0,50,1081,6,21,1,0,0,0,1.5,1,0,0,0
"Learn to Trade Forex and Stocks: From Beginner to Advanced",1,0,200,1645,25,42,1,0,0,0,2,1,0,0,0
"Master 'Technical Analysis and Chart reading skills Bundle""",1,0,120,3348,352,13,1,0,0,0,3,1,0,0,0
"Naked Put Options Trade Covered Call & Poor Man Covered Call",1,0,200,939,7,19,1,0,0,0,1.5,1,0,0,0
"The Ultimate Guide to Dividend & Dividend Growth Investing",1,0,200,2115,59,88,1,0,0,0,5.5,1,0,0,0
"Charting for Beginners 101: Technical Analysis Demystified",1,0,45,2230,102,10,1,0,0,0,1.5,1,0,0,0
"Build a DCF Valuation Model",1,0,50,2053,234,44,1,0,0,0,5.5,1,0,0,0
"Introductory Financial Accounting",1,0,80,1793,265,54,0,1,0,0,10,1,0,0,0
"Introduction to Cryptocurrencies and Blockchain",0,1,0,3775,138,11,0,1,0,0,2,1,0,0,0
"Trade Pullback Candlestick Strategy - Make Consistent Pips",1,0,200,521,67,24,1,0,0,0,3,1,0,0,0
"Accounting Standards Basics (Professional Course Level)",1,0,20,2222,9,12,1,0,0,0,0.7,1,0,0,0
"Use the Magic Multiple Moving Average Forex Trading system",1,0,50,1097,252,10,0,0,1,0,1,1,0,0,0
"QuickBooks 2015 Training for Newbies",1,0,200,2506,21,76,0,1,0,0,6,1,0,0,0
"TRADING PSYCHOLOGY: Trading Mindset Mastery",1,0,120,975,23,23,0,0,1,0,1,1,0,0,0
"Option Trading: How to Adjust Delta-Neutral Strangles!",1,0,145,1398,15,26,1,0,0,0,1.5,1,0,0,0
"Profitable binary option trading strategy",1,0,195,1096,24,24,1,0,0,0,1.5,1,0,0,0
"Tax Strategy: Financial Planning for Beginners",1,0,200,1703,59,25,1,0,0,0,2,1,0,0,0
"Accounting 2 Simplified for You",1,0,45,1446,23,27,0,1,0,0,5,1,0,0,0
"Project Funding Modelling (for Professionals)",1,0,20,2736,3,8,1,0,0,0,1.5,1,0,0,0
"Investing: How I Consistently Beat The Stock Market",1,0,200,2000,31,34,1,0,0,0,4.5,1,0,0,0
"Bookkeeping Basics:  Understand the Fundamentals",1,0,75,853,45,48,0,1,0,0,4.5,1,0,0,0
"Leasing - A Comprehensive Study (Professional Course Level)",1,0,20,3094,2,22,1,0,0,0,3.5,1,0,0,0
"Trading Options For Consistent Returns: Options Basics",0,1,0,4077,281,20,0,1,0,0,1.5,1,0,0,0
"TechniTrader Leading Hybrid Indicator Trading",1,0,20,4117,54,5,0,0,1,0,1,1,0,0,0
"Financial modeling: Build a DCF equity valuation model",1,0,20,1369,17,31,1,0,0,0,1.5,1,0,0,0
"CryptoArbitrager: Bitcoin Trading Robot (no mining)",1,0,150,1224,42,14,1,0,0,0,0.55,1,0,0,0
"Accounting Is Easy (for Beginners)",1,0,20,3870,12,90,1,0,0,0,9,1,0,0,0
"Non Directional Weekly Options Trading System - ETF & Emini",1,0,200,897,22,21,1,0,0,0,2,1,0,0,0
"The Complete Position Trading Course: Position Trading Stock",1,0,45,1311,36,5,1,0,0,0,1,1,0,0,0
"Master Iron Condors - Double the credit for half the risk",1,0,60,1338,139,7,0,0,0,1,1,1,0,0,0
"Basics of investing in Mutual Funds",1,0,20,1589,26,42,0,0,1,0,1.5,1,0,0,0
"A Value Investing Approach to the Stock Market",1,0,20,1189,12,15,1,0,0,0,1.5,1,0,0,0
"Learn how to INVEST for huge profits or make it big trading!",1,0,50,701,12,37,1,0,0,0,5.5,1,0,0,0
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",1,0,50,1105,3,54,0,0,1,0,6,1,0,0,0
"Mastering Candlestick Charting : High Probability Trading",1,0,50,123,16,35,1,0,0,0,2,1,0,0,0
"Binary Options Course - Level 2",0,1,0,5874,207,9,0,0,1,0,2,1,0,0,0
"Stock Technical Analysis with R",1,0,50,354,32,49,1,0,0,0,7,1,0,0,0
"Get to know the VIX Index (aka 'The Fear Index)""",1,0,60,727,64,9,1,0,0,0,1,1,0,0,0
"Apply finance concepts for smart project management",0,1,0,3465,161,24,0,1,0,0,2,1,0,0,0
"Introduction to Futures Trading and Live Trade Demonstration",1,0,60,54,4,6,0,0,0,1,0.716666666666667,1,0,0,0
"Crowdfunding to Win",1,0,40,627,15,15,1,0,0,0,1.5,1,0,0,0
"Comprehensive Forex Mastery Program",1,0,45,650,107,97,1,0,0,0,10,1,0,0,0
"Preparation of Consolidated Financial Statements (Basic)",0,1,0,965,0,18,0,0,1,0,1.5,1,0,0,0
"Succeed in Bonds Even if You Don't Know Where to Start",1,0,200,1113,6,8,1,0,0,0,1,1,0,0,0
"Learn to Trade for Profit: Ten Most Profitable Trading Rules",1,0,95,739,28,45,1,0,0,0,2,1,0,0,0
"Succeed in Lotto Even if You Don't Know Where to Start!",1,0,20,1201,12,18,1,0,0,0,1.5,1,0,0,0
"CFA Corporate Finance Level 2",1,0,50,2474,6,128,1,0,0,0,17.5,1,0,0,0
"Pin Bars: The Most Powerful Forex Trading Signal",1,0,200,494,16,19,1,0,0,0,1,1,0,0,0
"Stock Options Trades Using Interactive Brokers",1,0,95,1580,26,14,0,0,1,0,1,1,0,0,0
"Introduction to Options - Strategies For Consistent Profits",1,0,40,617,44,55,1,0,0,0,4.5,1,0,0,0
"Risk in Forex Transactions - for CA / CS / CFA exams",1,0,20,2235,3,9,1,0,0,0,1,1,0,0,0
"Basics of Business Statistics (College Level)",1,0,20,2293,9,28,1,0,0,0,2,1,0,0,0
"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",1,0,200,1094,8,13,0,1,0,0,2,1,0,0,0
"Interpreting Financial Statements",1,0,20,1449,29,23,0,1,0,0,1.5,1,0,0,0
"Introduction to Bookkeeping (Accounting)",1,0,20,3251,10,59,0,1,0,0,12,1,0,0,0
"CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ",1,0,60,607,55,16,0,0,1,0,2,1,0,0,0
"Investment Banking: How to Land a Job on Wall Street",1,0,75,1218,30,63,1,0,0,0,3.5,1,0,0,0
"Learn To Invest In Index Funds and ETFs In 7 Easy Steps",1,0,20,1132,33,18,1,0,0,0,1,1,0,0,0
"Financial modeling: Build a multiples valuation model",1,0,20,656,17,20,1,0,0,0,1.5,1,0,0,0
"Trade Recap I - A Real Look at Futures Options Markets",1,0,20,3339,4,11,0,1,0,0,1.5,1,0,0,0
"Advanced Stock Options for Serious Equity Investors!",1,0,200,1271,23,7,0,0,0,1,1.5,1,0,0,0
"Trading Binary Options for Fun and Profit",1,0,20,1574,24,46,1,0,0,0,2,1,0,0,0
"CFA: Fast Track your career in Finance",1,0,20,1393,27,21,0,1,0,0,2,1,0,0,0
"How to be a Profitable Forex Trader",1,0,20,1029,13,7,1,0,0,0,0.683333333333333,1,0,0,0
"Excel Dashboard - Interactive Excel Dashboard and Charts",1,0,30,843,54,34,1,0,0,0,3,1,0,0,0
"Accounting 101: Learn Business Finance Forecasting in 60mins",1,0,95,1730,12,12,1,0,0,0,1.5,1,0,0,0
"The Securities Trade Lifecycle",1,0,50,1182,110,22,1,0,0,0,4,1,0,0,0
"Double your Forex Account using the MAGIC MA trading robot",1,0,65,1160,117,24,0,0,1,0,2.5,1,0,0,0
"Technical Analysis 101: How to Profit During Market Crashes",1,0,95,1730,18,53,1,0,0,0,2,1,0,0,0
"Advanced Accounting for Investment Banking",1,0,50,1260,80,38,0,0,1,0,4,1,0,0,0
"Investing In Stocks With 10 Simple Rules",1,0,95,871,79,59,1,0,0,0,2,1,0,0,0
"Venture Capital. What is it and Why it Matters to You!",1,0,50,1566,48,25,1,0,0,0,2.5,1,0,0,0
"Cash Flow Valuation: Develop Your Financial Literacy",1,0,105,2987,23,19,1,0,0,0,2,1,0,0,0
"Direction-Independ Trading - Elite Forex Traders  Strategy",1,0,120,973,15,28,1,0,0,0,2.5,1,0,0,0
"How to Become a Financial Analyst from Scratch!",1,0,40,2177,31,38,0,1,0,0,5,1,0,0,0
"First Steps to Trading the Forexmarkets : Technical Analysis",1,0,35,1772,19,15,0,1,0,0,3.5,1,0,0,0
"Financial analysis: Compare performance of companies",1,0,20,1850,40,20,1,0,0,0,1,1,0,0,0
"Forex for Beginners: Easy Forex Trading for Beginners",0,1,0,1780,32,9,0,1,0,0,1,1,0,0,0
"Investment Crowdfunding 101 (a.k.a Equity Crowdfunding)",0,1,0,4607,181,11,0,1,0,0,0.533333333333333,1,0,0,0
"Read financial statements like a pro",1,0,50,12,1,38,0,0,1,0,4,1,0,0,0
"10 Numbers Every Business Owner Should Know",1,0,20,13,1,9,1,0,0,0,1,1,0,0,0
"Learn How To Trade Gold In 2017",1,0,200,2,1,16,1,0,0,0,1,1,0,0,0
"IAS 18 - Revenue",0,1,0,2571,32,23,1,0,0,0,4.5,1,0,0,0
